,assists,GameID,GameMode,baronKills,bountyLevel,champExperience,champLevel,championName,damageDealtToObjectives,damageSelfMitigated,deaths,dragonKills,firstBloodAssist,firstBloodKill,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,kills,lane,largestCriticalStrike,largestKillingSpree,longestTimeSpentLiving,magicDamageDealtToChampions,magicDamageTaken,nexusLost,objectivesStolen,physicalDamageDealtToChampions,physicalDamageTaken,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,teamEarlySurrendered,teamId,timeCCingOthers,timePlayed,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,5,4035079604,CLASSIC,0,0,8786,12,Swain,645,5894,7,0,False,False,True,7423,6550,UTILITY,0,1,3853,6653,2423,3020,1011,1026,3364,3,BOTTOM,0,2,698,13171,12004,0,0,756,4982,49,40,42,6,1,14,3,4,j3MswnlwbApLoAwKJH7HCVjuMKUDqpJt_70EnUrj7TAblIpjnyZQC1j7jw,False,200,28,1657,14322,0,18318,2339,0,39,161,198,395,1331,0,10,18,0,3,8,False
0,0,4035079613,CLASSIC,0,0,8134,11,Garen,2236,8049,1,0,False,False,True,5447,5250,TOP,0,0,1054,3139,3006,1042,1036,0,3340,2,NONE,147,2,944,0,6341,0,0,2911,3902,35,8,32,3,3,6,3,14,aWeSKIc3_9P0VQQy9D5ohDVbCKFmhRNn7-m8-Nyj8F-EOB0,False,100,5,1012,4233,0,10299,257,0,94,34,35,1322,56,0,4,4,0,0,2,False
0,1,4035079613,CLASSIC,0,0,6887,10,FiddleSticks,5041,6370,3,0,False,False,True,5294,5000,JUNGLE,0,0,2423,3152,2003,2055,3020,0,3330,0,NONE,0,0,669,1751,3488,0,0,0,10591,18,75,43,3,2,4,9,11,uvjjbDuvXWvLXT9lhhE-OjAfcBSo32fLRdRLMMYtKDUORsOjXn5Uqq3NKg,False,100,7,1012,1934,0,14262,8334,0,14,437,90,183,182,0,4,18,4,1,2,False
0,0,4035079613,CLASSIC,0,0,5193,9,Fizz,864,2374,4,0,False,False,True,3931,3125,MIDDLE,0,0,3145,2033,3020,1028,0,0,3340,0,NONE,0,0,583,2387,41,0,0,770,7626,11,39,22,2,0,14,3,4,cBmduKWmCgx2vGauQaKfPPCJomT4QzbyT1VPKnQ9MCbEJNo,False,100,4,1012,3157,0,7937,0,0,73,81,106,0,269,0,4,7,1,0,6,False
0,1,4035079613,CLASSIC,0,0,4222,8,Caitlyn,1274,2361,3,0,False,False,True,4081,3500,BOTTOM,0,0,1055,6670,3006,1018,0,0,3340,0,NONE,0,0,624,51,890,0,0,1765,5466,30,8,6,0,3,7,2,4,q6z_v_VYBt0ggEUI662eI1CutcEDpaqaHTP4mDCFFQs0pdE,False,100,1,1012,1889,0,6375,1348,179,76,17,56,72,18,0,4,5,0,0,3,False
0,0,4035079613,CLASSIC,0,0,4184,8,Swain,176,2920,3,0,False,False,True,3774,3475,UTILITY,0,0,3851,1001,3157,0,0,0,3364,1,NONE,0,0,611,3011,1734,0,0,177,4924,19,18,23,5,2,4,1,14,qF2DPEjihAcPA5-o0e0FsbqzdGmgFnM-yQQYo0cfVuuz1uI,False,100,16,1012,3279,0,6685,1014,0,18,116,56,90,26,0,4,10,1,0,6,False
0,0,4035079613,CLASSIC,0,0,8426,11,Malzahar,2962,2426,1,0,False,False,True,5995,5235,TOP,0,0,6655,3020,1052,1082,0,0,3363,2,NONE,0,2,895,7942,0,0,0,609,2720,49,43,53,3,2,12,1,4,1KBWvjRSLR0tmN2d2rNwpnDxzsPvp5hNCmHfQTLGw7w20W5oJP6DKXsqXg,False,200,19,1012,8552,0,3648,0,0,133,187,35,0,927,0,0,6,0,1,4,True
0,0,4035079613,CLASSIC,0,2,7376,11,Nocturne,27955,7149,0,1,False,False,True,6462,6050,JUNGLE,0,0,6691,3006,3134,2031,0,0,3513,2,NONE,0,2,0,65,1734,0,0,2578,11109,61,6,27,6,1,4,10,11,Y3qGpytzCj9oyI6EBPczf6SDTMOj78LXCeaFWyd4VyKiRBE,False,200,46,1012,2774,0,12843,7476,0,18,249,0,131,0,1,0,15,2,3,3,True
0,1,4035079613,CLASSIC,0,7,9127,12,Riven,3365,5129,1,0,False,False,True,8412,6250,MIDDLE,0,0,3158,6029,1036,3142,3067,0,3340,8,NONE,0,7,626,0,3490,0,0,10443,2717,192,34,52,6,4,14,2,4,Cbn4hL4OvYOinTUwXL2BfGEi5pTbemT7kg3YdbjrJZVwcvo,False,200,19,1012,10845,0,6729,756,0,115,80,30,402,521,2,0,8,0,0,5,True
0,9,4035079613,CLASSIC,0,0,6775,10,Sivir,2201,1676,1,0,True,False,True,6248,6225,BOTTOM,0,0,3070,3133,1036,6691,0,3158,3340,0,NONE,0,0,184,0,1689,0,0,5029,2267,44,26,12,3,2,7,1,4,N4IR9gFjKVRxBcQUqg0WqU-zZK-YhWfK2NSwtLOP4IXVdbo,False,200,0,1012,5029,0,4175,1610,221,122,0,8,0,219,1,0,9,1,1,6,True
0,4,4035079613,CLASSIC,0,2,5228,9,Lux,1320,1007,0,1,False,True,True,4865,3975,UTILITY,0,0,3851,2031,0,3020,3802,1026,3340,2,NONE,0,2,0,2797,1636,0,0,641,870,13,8,56,2,1,14,1,4,3FTmiTWU7-40QciyGgR1_BAiW5FP3XON5-r33f9hSI2rIT0,False,200,15,1012,3456,308,2507,0,0,9,71,0,18,0,0,0,8,1,1,6,True
0,2,4035079665,CLASSIC,0,0,15286,16,TahmKench,2763,34482,5,0,False,False,False,9172,9275,TOP,0,2,3068,3075,1011,3047,1037,0,3340,3,TOP,17,2,954,9365,3672,1,0,1420,15338,111,20,9,10,0,4,0,12,W91LD-W_dRMM9npV5RRTJSi3K3z1h4riwpkCrb07MtThaJk,False,100,20,1979,10786,629,26437,7134,0,162,259,155,0,7425,1,10,16,0,0,11,False
0,6,4035079665,CLASSIC,0,0,15614,16,Kayn,15285,21714,12,2,False,False,False,13808,13400,JUNGLE,0,2,6691,3142,3117,6694,6695,0,3364,9,JUNGLE,0,4,352,2067,4949,1,0,20214,34212,150,98,86,14,5,4,21,11,oIFwBXliUJVukOxlSN4FXZez9huU3bYFQ12rCN9SOUgueXAC,False,100,8,1979,22984,0,40785,15811,0,45,334,369,702,1624,0,10,14,0,3,1,False
0,6,4035079665,CLASSIC,0,0,16895,17,Veigar,3344,9068,8,0,False,False,False,12546,11800,MIDDLE,0,2,3157,6655,3040,3020,1058,1056,3340,9,MIDDLE,0,2,593,23193,4285,1,0,757,11488,146,83,33,10,4,4,1,12,jAnqvI6MmxhrVUkHci_FDWyDMpx5W70oDjDk0SIpiOsfj0s,False,100,35,1979,24403,0,20458,1538,0,209,95,305,453,4684,0,10,17,0,1,9,False
0,6,4035079665,CLASSIC,0,0,13125,15,Caitlyn,7233,10662,6,0,False,False,False,11077,10775,BOTTOM,0,2,3033,6671,0,3006,3095,1055,3363,5,BOTTOM,792,3,520,1309,4475,1,0,12684,15259,64,44,17,6,5,7,3,4,gFiTLYb5QDWQi9VjksPIUsQO9ZKEXPOC7HEZ_Hj6r0pMs3Y,False,100,12,1979,13993,0,21603,7130,467,185,48,169,0,1868,0,10,26,3,1,10,False
0,9,4035079665,CLASSIC,0,0,11053,13,Blitzcrank,893,26142,11,0,False,False,False,7388,7000,UTILITY,0,2,3190,3050,3860,1029,3117,0,3364,1,BOTTOM,0,0,335,4484,5366,1,0,1530,17058,24,25,17,9,2,4,2,3,Y6OoWGObMFUfNVkW1qzxxOQY2K7lk2HKK-RINhAcTzAwkME,False,100,22,1979,6015,1109,24822,1067,256,25,81,306,0,2397,0,10,60,4,6,25,False
0,7,4035079665,CLASSIC,0,3,17526,17,Darius,10135,25390,4,0,False,False,False,14694,12450,TOP,0,0,6631,3742,3047,3211,1054,3053,3340,12,TOP,0,5,671,0,13418,0,0,19462,15178,75,82,19,11,4,4,6,6,G14DCDfAxA-piGc8syNUF_aNGhWg5ujUWbQfqslcjXfOLweef8-vW-hW6g,False,200,28,1979,26554,0,28879,9606,0,192,305,154,7092,282,4,2,25,2,2,10,True
0,12,4035079665,CLASSIC,0,0,15313,16,Kindred,22072,14020,9,1,False,True,False,11640,11275,JUNGLE,1,0,6672,6676,3153,3006,0,0,3364,6,JUNGLE,434,2,732,3082,9450,0,0,13269,20205,124,49,57,4,5,4,17,11,9gI000k-14G1SfO-PD5vj9vJtpz-0tfPymT0HSJL_3yKGoA,False,200,6,1979,18380,0,29806,15970,7183,12,173,293,2029,149,2,2,37,3,4,7,True
0,5,4035079665,CLASSIC,0,4,18011,17,Vayne,13230,15842,8,1,True,False,False,13679,10150,MIDDLE,0,0,1043,0,1053,3006,6673,3091,3340,8,MIDDLE,514,4,418,2064,12216,0,0,13564,14484,95,0,16,10,5,6,5,4,hqZNPxhHkQNlGX390_tv6ZfHoMGW8FuALRcxsgm8RApafpex,False,200,12,1979,23780,0,26881,5164,0,194,104,252,8151,180,5,2,24,2,0,11,True
0,8,4035079665,CLASSIC,0,6,17162,17,Jhin,14097,6254,3,0,False,False,False,16477,14750,BOTTOM,1,0,3031,6671,3009,1053,6676,3094,3340,12,BOTTOM,1652,6,756,1606,6713,0,0,22337,11191,69,22,18,32,5,7,5,4,UAwb0UyYoE7tRlATTlrtKzBqDt2RG2Ax2UopCli61hahwPw,False,200,22,1979,24519,0,18153,7510,435,243,103,109,575,248,5,2,10,0,2,4,True
0,18,4035079665,CLASSIC,0,1,13207,15,Lux,1015,3984,3,0,False,False,False,10161,7900,UTILITY,0,0,3916,3853,6655,3020,3191,1058,3340,4,BOTTOM,0,3,793,13858,1386,0,0,634,7119,43,36,93,12,4,4,2,14,ulNYfK69vVEORtZeCqz4xJbvjCwXx3NrhwUUhnUAPLSSQHo,False,200,42,1979,14644,2719,8799,293,0,41,161,93,152,294,4,2,46,2,3,21,True
0,1,4035079666,CLASSIC,0,0,8399,11,Nasus,0,19482,5,0,True,False,False,5835,5700,TOP,0,2,1056,3111,3065,3076,1028,0,3340,1,TOP,0,0,456,2476,11505,1,0,3854,10741,100,16,23,5,3,4,3,12,ZMk_c3361SP4-gk8RjoAslYb--33C3PSB37RWg43btGiBHU,False,100,13,1336,6331,0,22788,1163,0,110,92,162,0,541,0,9,5,0,0,4,False
0,3,4035079666,CLASSIC,0,0,5664,9,RekSai,4800,6857,6,1,True,False,False,5162,4225,JUNGLE,0,2,3134,3117,0,2031,0,3133,3364,1,JUNGLE,0,0,782,0,4831,1,0,4735,9103,91,72,57,10,4,4,12,11,d-GvKFaT37NbNioAf5Nx0KyhlwW8JmUS99rrGmzofigv4cm1,False,100,16,1336,5972,0,14569,3952,0,11,174,158,1236,634,0,9,20,7,1,9,False
0,2,4035079666,CLASSIC,0,0,9103,12,Sylas,0,10113,6,0,True,False,False,7125,6950,MIDDLE,0,2,3102,6656,0,3158,0,0,3340,6,MIDDLE,0,3,471,13256,8536,1,0,958,9153,46,46,79,16,6,14,2,4,puG3V41xrCsK8F4EfpPnBT8wx-ONgn5K9SQecpj2r5dd-Dn3,False,100,24,1336,15440,0,18696,3584,0,95,224,141,1226,1006,0,9,7,0,0,6,False
0,1,4035079666,CLASSIC,0,0,8192,11,Vayne,3672,5348,4,0,False,True,False,8622,8325,BOTTOM,0,2,3153,6672,3006,0,1055,2055,3340,4,MIDDLE,348,3,676,77,4631,1,0,6832,6908,45,0,8,5,4,7,3,4,6pOU89s32m6IQTB4QEsm2t_NHKvdSVzMOf5bOorqkJVOzyg,False,100,7,1336,8304,0,11945,3443,690,153,9,112,1394,405,1,9,7,1,1,6,False
0,6,4035079666,CLASSIC,0,0,5921,9,Thresh,279,10725,5,0,True,False,False,5090,4375,UTILITY,0,2,3190,3860,2055,3111,0,0,3364,0,MIDDLE,0,0,517,3687,6359,1,0,354,4567,30,18,16,6,4,14,4,4,Z3bCBCFB_kNt7l42aP5ILoPcAlwwyZ_8Tlr6ugi9EDbimoU,False,100,21,1336,4691,745,11457,0,0,29,84,125,650,530,0,9,35,3,2,16,False
0,10,4035079666,CLASSIC,0,2,10707,13,Malphite,1426,19711,3,0,False,False,False,7704,6100,TOP,0,0,3047,2033,3076,6662,1011,0,3340,3,TOP,0,2,582,12486,5430,0,0,4752,8093,81,47,52,6,2,4,3,12,ImBEnZxvjmgxQD-eTImGyzpyiXcSrBwjAyjkoPd1wfM6-wE,False,200,29,1336,17238,0,13905,2391,0,131,579,80,0,382,3,1,11,0,1,6,True
0,9,4035079666,CLASSIC,0,6,10391,13,Graves,13888,10732,3,2,False,False,False,9415,8150,JUNGLE,0,0,3047,2031,6673,3071,1036,0,3364,7,JUNGLE,251,6,248,502,6593,0,0,11654,9732,75,15,28,9,14,11,4,4,CuINpTVVHh0Fwt9UdrOqcVjeMfx_Py0wvAKFWgyGXVZ2Lc4,False,200,16,1336,13189,0,18231,6424,0,20,420,49,1032,1905,4,1,9,0,2,0,True
0,10,4035079666,CLASSIC,0,6,9794,12,Vladimir,3461,4729,2,0,False,False,False,9913,8625,MIDDLE,1,0,3041,1058,3152,3158,2055,1058,3363,8,MIDDLE,0,6,476,11403,5037,0,0,866,7406,176,6,45,5,3,4,5,14,qJ0UpP6XUZQFE8TUjaUYZU2MqPXiWoZKMIXPhAcGqmhlcCY,False,200,2,1336,12744,0,13240,12062,0,112,29,37,474,796,3,1,22,4,1,8,True
0,7,4035079666,CLASSIC,0,2,9795,12,Tristana,14612,4572,4,0,False,False,False,11557,10700,BOTTOM,1,0,1055,6672,2055,3006,3046,3026,3340,6,BOTTOM,433,3,452,1158,2543,0,0,10410,8587,25,20,25,3,2,4,4,7,3FeZW4eKSDoy_WDU1d4CrREoZo3bYy5fw-koMDSUDGCI7MU,False,200,2,1336,13180,0,12393,5309,427,161,20,71,1611,1261,8,1,14,2,2,8,True
0,10,4035079666,CLASSIC,0,2,7821,11,Brand,3019,2117,0,0,False,False,False,6864,5760,UTILITY,0,0,3853,6653,3020,2055,1052,0,3364,2,BOTTOM,0,2,1331,10019,915,0,0,510,4447,33,55,32,8,3,3,2,4,pNSCvLqWLpyPypXk_9psgEyTBQIe7tK3EoiwZc16tv5xcrw,False,200,17,1336,10529,0,5522,758,0,26,32,0,0,160,5,1,53,5,8,22,True
0,3,4035079668,CLASSIC,0,0,11939,14,Vayne,15064,8702,4,0,False,False,False,10795,10575,TOP,1,0,6673,3153,3006,1038,1037,0,3340,6,TOP,396,2,820,317,5483,0,0,13449,9224,155,0,9,8,4,6,3,4,dU6qgdHVcmo7cfJLfh2mA7kaw26ypozagcYfNAeTqmmL-GRjuS-buDtT7w,False,100,6,1425,16117,0,15100,3041,0,146,13,154,2350,392,4,0,10,2,1,5,True
0,6,4035079668,CLASSIC,1,4,12039,14,Udyr,37834,14878,3,3,True,False,False,10173,8933,JUNGLE,0,0,3078,2031,3111,3153,1031,0,3340,5,JUNGLE,0,4,468,0,5613,0,0,6018,12134,96,54,90,0,2,4,12,11,fB6UbRpsqk42s1yzfyljpsFoU7lsBVygUHn4ngB_r12axWT6,False,100,12,1425,6264,0,18655,8940,0,21,116,52,246,908,4,0,20,0,2,8,True
0,4,4035079668,CLASSIC,0,0,11671,14,Neeko,9843,8906,4,0,False,False,False,11030,10125,MIDDLE,1,0,4628,6656,2420,2055,3020,1058,3340,9,TOP,0,4,665,22763,6428,0,0,1661,6708,66,27,43,12,5,14,3,4,Jjonhx3M13maAtnU5zIrfU6BrMAnhdp48bsT2R3ttJpjuF8,False,100,43,1425,25218,0,13812,2364,0,122,172,150,793,675,3,0,7,1,0,4,True
0,10,4035079668,CLASSIC,0,2,11952,14,Ezreal,6938,9016,4,0,False,True,False,12267,10468,BOTTOM,0,0,3004,3078,3158,0,3110,0,3340,10,MIDDLE,0,3,423,8932,6989,0,0,21807,6968,262,62,28,9,5,7,5,4,T_M0SsMqb6TJiovlz2MBkJGuGzk2OkHzYtIO5-BkW2Qdzk0,False,100,10,1425,32021,0,14650,2173,967,141,456,108,1280,692,4,0,16,1,1,8,True
0,11,4035079668,CLASSIC,0,0,9401,12,Janna,2194,8666,7,0,True,False,False,8291,8075,UTILITY,1,0,3853,2065,3158,3504,4642,3916,3340,3,MIDDLE,0,0,418,8097,7458,0,0,634,6316,90,63,34,6,4,4,5,3,IerA_ZP2kHdTgmBpCg91OidFXH26C1DfemB7skjMygqottQ,False,100,45,1425,8787,1527,15044,4632,2665,27,242,192,56,1269,3,0,26,1,3,12,True
0,4,4035079668,CLASSIC,0,1,12405,14,Kayle,1157,10784,2,0,False,False,False,7355,6200,TOP,0,4,1056,2031,2055,3006,3115,4635,3340,1,TOP,0,0,671,3810,5318,1,0,2337,13785,43,23,68,5,3,4,2,12,o3AvneLhINpTVhGda3t0l_D7-Fcday_nnmgQmFaUn6nn9zaY,False,200,5,1425,6147,0,20276,2983,317,145,154,60,0,1173,0,11,14,2,0,4,False
0,8,4035079668,CLASSIC,0,0,8546,11,Warwick,4595,18542,9,1,False,False,False,8615,8425,JUNGLE,0,4,6632,2031,3748,3047,2055,0,3364,7,JUNGLE,0,2,380,4533,10862,1,0,2452,17767,61,4,39,6,11,11,3,4,QvDmIJmMZgB68f6-UB3IMm4mry0lmS86VHtARnIjNnz2ES0,False,200,27,1425,7197,0,29655,8978,0,12,246,210,210,1025,0,11,20,3,2,4,False
0,7,4035079668,CLASSIC,0,0,10933,13,Irelia,1031,16366,10,0,False,False,False,9167,8575,MIDDLE,0,4,1055,3153,3111,6673,1042,1042,3364,5,MIDDLE,360,3,338,4586,8895,1,0,7778,15117,131,26,48,5,4,4,4,14,TCmNPhjF8gZMmBxV-6bStYlzrI8v-cqjqwdr8YhvvAVT723fR9XcnHnFWQ,False,200,17,1425,12916,0,25569,2408,0,131,86,247,552,1557,0,11,15,1,1,2,False
0,4,4035079668,CLASSIC,0,0,8257,11,KogMaw,1982,8348,6,0,False,False,False,8227,6975,BOTTOM,0,4,1055,3086,6672,3006,1042,1042,3340,9,BOTTOM,297,5,573,8677,9061,1,0,7582,11805,47,48,24,35,5,4,5,7,zQqlbr6X1u5mpW7UDz5yL_09y8dpLHVsfVB6qLGjViWpHhD7hxEo9XmFrQ,False,200,6,1425,18547,0,21646,4299,360,65,144,158,2288,779,0,11,13,1,1,7,False
0,16,4035079668,CLASSIC,0,0,9555,12,Sona,2703,9916,6,0,False,False,False,6221,5500,UTILITY,0,4,3853,3070,6617,3158,3114,2055,3364,0,BOTTOM,0,0,465,8256,7033,1,0,1184,8652,87,85,100,8,5,4,5,14,NulS4zQbFLLnak8UHzl9r_Vw4mJBKo2xjdmUlgdoegnMCP4,False,200,10,1425,10329,3919,15877,16675,11905,27,21,124,888,192,0,11,45,4,2,26,False
0,2,4035079686,CLASSIC,0,0,7191,10,Kennen,1543,3825,1,0,False,False,True,4896,4150,TOP,0,0,2422,1083,3152,2055,1029,0,3340,0,NONE,0,0,938,4361,465,0,0,1218,5384,67,25,34,4,2,12,2,4,hYBFQd4P3kldjSaSHcdHc3FBievvOn4dWgUBDhPo9yaytkk,False,100,17,1005,5580,0,6002,1292,0,94,61,32,0,152,0,1,2,2,0,2,True
0,2,4035079686,CLASSIC,0,1,6512,10,Teemo,7589,4027,2,2,False,False,True,5203,3410,JUNGLE,0,0,3802,3006,1052,0,0,0,3340,2,NONE,0,0,627,2921,2244,0,0,356,7800,56,14,0,11,3,4,10,11,eUlQ5VCnAm1HX4r0lkMrutpuJU21_Pj7mkUWg9MdcW43n6A,False,100,14,1005,3562,0,10171,4015,0,13,263,48,284,126,0,1,11,1,3,5,True
0,1,4035079686,CLASSIC,0,4,8598,12,Tryndamere,10144,6002,1,0,False,True,True,8262,5000,MIDDLE,0,0,6672,3006,1036,0,0,0,3340,7,NONE,478,4,661,0,4772,0,0,8162,7066,23,12,37,3,4,6,4,14,QN1qArOkUb9nA07rwqTSSD4bLGGdULznOKmmYVZxFv5SuY1l,False,100,4,1005,9640,0,12874,5960,0,93,29,27,1477,1035,2,1,10,0,2,5,True
0,0,4035079686,CLASSIC,0,3,6815,10,Sivir,7109,2949,1,0,False,False,True,8552,7600,BOTTOM,0,0,6671,1055,3006,3004,0,0,3340,10,NONE,336,7,776,684,1111,0,0,11711,6300,49,32,9,3,3,7,2,4,LKQR1zDkCFkJedn2nen2DP1s95SwhTLvA6u9DMVmtEduZIE,False,100,1,1005,12540,0,8506,1573,414,129,26,27,144,1094,2,1,10,0,2,4,True
0,8,4035079686,CLASSIC,0,0,5805,9,Nami,2216,2440,2,0,False,False,True,5318,4425,UTILITY,0,0,3853,3070,6617,3158,0,0,3340,0,NONE,0,0,484,3528,2047,0,0,958,4486,21,42,28,3,2,12,2,4,D8G40tIjX0VplBrwGci86EV_1bnKWi0l-owhyJZr-Ofanqg,False,100,9,1005,4486,0,7026,5575,3090,7,62,31,0,492,2,1,23,1,2,10,True
0,0,4035079686,CLASSIC,0,0,9073,12,Gnar,2904,6742,1,0,False,False,True,5624,4050,TOP,0,0,1055,3057,3111,3044,1028,0,3340,1,NONE,0,0,982,543,4052,0,0,5310,4634,63,14,13,2,1,12,2,4,om74ZVbm6tW6RvqE1ZJuPjsF4RbwA8w_jEAf-W47shIUR7Y,False,200,11,1005,5854,0,9154,1333,0,127,242,0,0,467,1,3,4,0,0,3,False
0,1,4035079686,CLASSIC,0,0,6128,10,MasterYi,1668,7294,4,0,False,False,True,6441,5500,JUNGLE,0,0,6691,1006,3006,1036,1036,0,3340,3,NONE,0,2,341,0,2115,0,0,5314,11062,45,8,26,4,3,4,10,11,J3Yh6sXaWqPp4u0ntDanWXXEU5CyX_gTvwg81B2fq-2r4RA,False,200,5,1005,7205,0,13780,5134,0,8,145,76,1890,603,0,3,10,0,0,5,False
